 frequency              input_noise_VrtHz      output_noise_VrtHz    
 3.467368504525311e-02  6.002136499707953e-06  1.571819406440877e-01 
 3.548133892335749e-02  5.931570831400374e-06  1.553339904684400e-01 
 3.630780547701008e-02  5.861845931122684e-06  1.535080581119538e-01 
 3.715352290971719e-02  5.792951648470028e-06  1.517038778224491e-01 
 3.801893963205605e-02  5.724877957110798e-06  1.499211867048757e-01 
 3.890451449942799e-02  5.657614953256734e-06  1.481597257294197e-01 
 3.981071705534966e-02  5.591152854141172e-06  1.464192384504057e-01 
 4.073802778041120e-02  5.525481996531323e-06  1.446994720025397e-01 
 4.168693834703347e-02  5.460592835248770e-06  1.430001763557892e-01 
 4.265795188015920e-02  5.396475941707913e-06  1.413211045974912e-01 
 4.365158322401652e-02  5.333122002481407e-06  1.396620128307077e-01 
 4.466835921509623e-02  5.270521817874817e-06  1.380226601368995e-01 
 4.570881896148742e-02  5.208666300521794e-06  1.364028085391369e-01 
 4.677351412871973e-02  5.147546473998007e-06  1.348022229658017e-01 
 4.786300923226374e-02  5.087153471452314e-06  1.332206712147411e-01 
 4.897788193684452e-02  5.027478534253319e-06  1.316579239178238e-01 
 5.011872336272712e-02  4.968513010652433e-06  1.301137545059288e-01 
 5.128613839913638e-02  4.910248354468045e-06  1.285879391744869e-01 
 5.248074602497715e-02  4.852676123777461e-06  1.270802569041858e-01 
 5.370317963702516e-02  4.795787979639160e-06  1.255904890983921e-01 
 5.495408738576234e-02  4.739575684810553e-06  1.241184203707534e-01 
 5.623413251903479e-02  4.684031102505707e-06  1.226638374199058e-01 
 5.754399373371557e-02  4.629146195148383e-06  1.212265298672067e-01 
 5.888436553555877e-02  4.574913023149420e-06  1.198062896360353e-01 
 6.025595860743563e-02  4.521323743702197e-06  1.184029114988492e-01 
 6.165950018614807e-02  4.468370609586037e-06  1.170161925721715e-01 
 6.309573444801918e-02  4.416045967988436e-06  1.156459323448665e-01 
 6.456542290346540e-02  4.364342259342694e-06  1.142919329007024e-01 
 6.606934480075945e-02  4.313252016176278e-06  1.129539986351188e-01 
 6.760829753919802e-02  4.262767861979190e-06  1.116319365210539e-01 
 6.918309709189348e-02  4.212882510079846e-06  1.103255555909979e-01 
 7.079457843841361e-02  4.163588762540471e-06  1.090346673965741e-01 
 7.244359600749882e-02  4.114879509063575e-06  1.077590856890436e-01 
 7.413102413009155e-02  4.066747725910350e-06  1.064986266267933e-01 
 7.585775750291818e-02  4.019186474838437e-06  1.052531085117721e-01 
 7.762471166286897e-02  3.972188902047411e-06  1.040223517673272e-01 
 7.943282347242793e-02  3.925748237136383e-06  1.028061791384744e-01 
 8.128305161640970e-02  3.879857792082391e-06  1.016044153935703e-01 
 8.317637711026686e-02  3.834510960220870e-06  1.004168877830939e-01 
 8.511380382023739e-02  3.789701215250106e-06  9.924342513473071e-02 
 8.709635899560780e-02  3.745422110237249e-06  9.808385866376788e-02 
 8.912509381337429e-02  3.701667276643551e-06  9.693802167831901e-02 
 9.120108393559070e-02  3.658430423361012e-06  9.580574938597013e-02 
 9.332543007969883e-02  3.615705335758499e-06  9.468687899902631e-02 
 9.549925860214331e-02  3.573485874741130e-06  9.358124987171040e-02 
 9.772372209558078e-02  3.531765975821330e-06  9.248870310633085e-02 
 9.999999999999970e-02  3.490539648202752e-06  9.140908173879751e-02 
 1.023292992280751e-01  3.449800973870929e-06  9.034223091005381e-02 
 1.047128548050896e-01  3.409544106702861e-06  8.928799748371082e-02 
 1.071519305237603e-01  3.369763271579936e-06  8.824623026098091e-02 
 1.096478196143182e-01  3.330452763515767e-06  8.721677972701271e-02 
 1.122018454301960e-01  3.291606946796498e-06  8.619949844730800e-02 
 1.148153621496879e-01  3.253220254127251e-06  8.519424044047386e-02 
 1.174897554939526e-01  3.215287185790821e-06  8.420086194045626e-02 
 1.202264434617409e-01  3.177802308822354e-06  8.321922041343371e-02 
 1.230268770812377e-01  3.140760256182902e-06  8.224917545518040e-02 
 1.258925411794163e-01  3.104155725954647e-06  8.129058818433027e-02 
 1.288249551693130e-01  3.067983480539315e-06  8.034332140556073e-02 
 1.318256738556403e-01  3.032238345868123e-06  7.940723969188086e-02 
 1.348962882591649e-01  2.996915210623716e-06  7.848220918849559e-02 
