 sweep_vcmfb            sweep_voutp            sweep_voutn            sweep_voutcm           sweep_vod             
 1.979999999999994e-02  3.582779118160091e-07  3.582779118178382e-07  3.582779118169236e-07 -1.829114710036458e-18 
 1.989999999999994e-02  3.582779111457242e-07  3.582779111483225e-07  3.582779111470233e-07 -2.598273565702566e-18 
 1.999999999999993e-02  3.582779104877653e-07  3.582779104880165e-07  3.582779104878909e-07 -2.511452688609001e-19 
 2.009999999999993e-02  3.582779097637679e-07  3.582779097661872e-07  3.582779097649776e-07 -2.419337855595095e-18 
 2.019999999999993e-02  3.582779090853525e-07  3.582779090848761e-07  3.582779090851143e-07  4.764030932713405e-19 
 2.029999999999993e-02  3.582779084015443e-07  3.582779084030653e-07  3.582779084023048e-07 -1.521006475472706e-18 
 2.039999999999993e-02  3.582779076976805e-07  3.582779076968774e-07  3.582779076972789e-07  8.030401735562801e-19 
 2.049999999999993e-02  3.582779070805871e-07  3.582779070778898e-07  3.582779070792385e-07  2.697217601853709e-18 
 2.059999999999993e-02  3.582779063552811e-07  3.582779063550412e-07  3.582779063551612e-07  2.398162031913738e-19 
 2.069999999999993e-02  3.582779056860172e-07  3.582779056882797e-07  3.582779056871484e-07 -2.262477941675440e-18 
 2.079999999999993e-02  3.582779050249903e-07  3.582779050269329e-07  3.582779050259616e-07 -1.942617124968534e-18 
 2.089999999999993e-02  3.582779043044400e-07  3.582779043039130e-07  3.582779043041765e-07  5.269603723105816e-19 
 2.099999999999993e-02  3.582779036242803e-07  3.582779036262027e-07  3.582779036252415e-07 -1.922394213352838e-18 
 2.109999999999993e-02  3.582779029255107e-07  3.582779029268986e-07  3.582779029262047e-07 -1.387916423635374e-18 
 2.119999999999993e-02  3.582779022742167e-07  3.582779022748464e-07  3.582779022745315e-07 -6.296631171651655e-19 
 2.129999999999993e-02  3.582779015506978e-07  3.582779015531973e-07  3.582779015519475e-07 -2.499488348229034e-18 
 2.139999999999993e-02  3.582779008949997e-07  3.582779008933555e-07  3.582779008941776e-07  1.644143890179800e-18 
 2.149999999999993e-02  3.582779001850065e-07  3.582779001867146e-07  3.582779001858605e-07 -1.708041938138297e-18 
 2.159999999999992e-02  3.582778995373695e-07  3.582778995374955e-07  3.582778995374325e-07 -1.260490904632806e-19 
 2.169999999999992e-02  3.582778988245894e-07  3.582778988263758e-07  3.582778988254826e-07 -1.786392485759319e-18 
 2.179999999999992e-02  3.582778981513311e-07  3.582778981514090e-07  3.582778981513701e-07 -7.792703114739563e-20 
 2.189999999999992e-02  3.582778974629070e-07  3.582778974652611e-07  3.582778974640841e-07 -2.354116318656514e-18 
 2.199999999999992e-02  3.582778967787885e-07  3.582778967781849e-07  3.582778967784867e-07  6.036168540370958e-19 
 2.209999999999992e-02  3.582778961371508e-07  3.582778961352519e-07  3.582778961362013e-07  1.898889049066531e-18 
 2.219999999999992e-02  3.582778953975231e-07  3.582778954007978e-07  3.582778953991605e-07 -3.274629374085125e-18 
 2.229999999999992e-02  3.582778947420675e-07  3.582778947429301e-07  3.582778947424988e-07 -8.625971776600981e-19 
 2.239999999999992e-02  3.582778940623123e-07  3.582778940620069e-07  3.582778940621596e-07  3.054612566035821e-19 
 2.249999999999992e-02  3.582778933855665e-07  3.582778933837561e-07  3.582778933846613e-07  1.810427045637660e-18 
 2.259999999999992e-02  3.582778926707583e-07  3.582778926734407e-07  3.582778926720994e-07 -2.682394525276759e-18 
 2.269999999999992e-02  3.582778920116317e-07  3.582778920099656e-07  3.582778920107986e-07  1.666113807249209e-18 
 2.279999999999992e-02  3.582778913127239e-07  3.582778913160421e-07  3.582778913143830e-07 -3.318251570868722e-18 
 2.289999999999992e-02  3.582778906047328e-07  3.582778906062787e-07  3.582778906055058e-07 -1.545835128739098e-18 
 2.299999999999992e-02  3.582778899307400e-07  3.582778899286457e-07  3.582778899296928e-07  2.094394841204664e-18 
 2.309999999999992e-02  3.582778892528499e-07  3.582778892555353e-07  3.582778892541925e-07 -2.685359140592149e-18 
 2.319999999999992e-02  3.582778885807057e-07  3.582778885822842e-07  3.582778885814950e-07 -1.578445897208389e-18 
 2.329999999999991e-02  3.582778878824792e-07  3.582778878831881e-07  3.582778878828337e-07 -7.089136372926460e-19 
 2.339999999999991e-02  3.582778871808796e-07  3.582778871793326e-07  3.582778871801061e-07  1.546999799041573e-18 
 2.349999999999991e-02  3.582778864851149e-07  3.582778864881948e-07  3.582778864866548e-07 -3.079811796216636e-18 
 2.359999999999991e-02  3.582778858253771e-07  3.582778858237965e-07  3.582778858245868e-07  1.580616419135728e-18 
 2.369999999999991e-02  3.582778851335057e-07  3.582778851363093e-07  3.582778851349075e-07 -2.803520236734124e-18 
 2.379999999999991e-02  3.582778844453234e-07  3.582778844433502e-07  3.582778844443368e-07  1.973269129747299e-18 
