 frequency              onoise_spectrum       
 1.778279410038911e+00  2.435653076006518e-02 
 1.819700858609971e+00  2.406755381130590e-02 
 1.862087136662855e+00  2.378205667195957e-02 
 1.905460717963235e+00  2.349999643144233e-02 
 1.949844599758032e+00  2.322133229631409e-02 
 1.995262314968866e+00  2.294602238699113e-02 
 2.041737944669515e+00  2.267402586887548e-02 
 2.089296130854025e+00  2.240530240999968e-02 
 2.137962089502217e+00  2.213981217475052e-02 
 2.187761623949537e+00  2.187751581767013e-02 
 2.238721138568323e+00  2.161837447733404e-02 
 2.290867652767756e+00  2.136234977030470e-02 
 2.344228815319905e+00  2.110940378515985e-02 
 2.398832919019473e+00  2.085949907659445e-02 
 2.454708915685012e+00  2.061259865959542e-02 
 2.511886431509561e+00  2.036866600368824e-02 
 2.570395782768844e+00  2.012766502725409e-02 
 2.630267991895362e+00  1.988956009191723e-02 
 2.691534803926895e+00  1.965431599700102e-02 
 2.754228703338145e+00  1.942189797405218e-02 
 2.818382931264432e+00  1.919227168143208e-02 
 2.884031503126584e+00  1.896540319897428e-02 
 2.951209226666363e+00  1.874125902270742e-02 
 3.019951720401993e+00  1.851980605964249e-02 
 3.090295432513567e+00  1.830101162262379e-02 
 3.162277660168355e+00  1.808484342524258e-02 
 3.235936569296257e+00  1.787126957681256e-02 
 3.311311214825885e+00  1.766025817940988e-02 
 3.388441561391999e+00  1.745177891965615e-02 
 3.467368504525289e+00  1.724580066173827e-02 
 3.548133892335727e+00  1.704229304882328e-02 
 3.630780547700985e+00  1.684122609557690e-02 
 3.715352290971696e+00  1.664257018349277e-02 
 3.801893963205582e+00  1.644629605627779e-02 
 3.890451449942775e+00  1.625237481529289e-02 
 3.981071705534941e+00  1.606077791504819e-02 
 4.073802778041094e+00  1.587147715875212e-02 
 4.168693834703320e+00  1.568444469391340e-02 
 4.265795188015892e+00  1.549965230943739e-02 
 4.365158322401624e+00  1.531707423379827e-02 
 4.466835921509595e+00  1.513668291464555e-02 
 4.570881896148713e+00  1.495845183374425e-02 
 4.677351412871944e+00  1.478235479593844e-02 
 4.786300923226344e+00  1.460836592505553e-02 
 4.897788193684422e+00  1.443645965985829e-02 
 5.011872336272681e+00  1.426661075004398e-02 
 5.128613839913606e+00  1.409879425228983e-02 
 5.248074602497682e+00  1.393298552634421e-02 
 5.370317963702482e+00  1.376916023116259e-02 
 5.495408738576200e+00  1.360729432108791e-02 
 5.623413251903443e+00  1.344736404207436e-02 
 5.754399373371521e+00  1.328934592795404e-02 
 5.888436553555840e+00  1.313321679674578e-02 
 6.025595860743526e+00  1.297895374700537e-02 
 6.165950018614769e+00  1.282653415421663e-02 
 6.309573444801878e+00  1.267593509605131e-02 
 6.456542290346500e+00  1.252713564024004e-02 
 6.606934480075903e+00  1.238011339382802e-02 
 6.760829753919760e+00  1.223484680471435e-02 
 6.918309709189305e+00  1.209131458026928e-02 
 7.079457843841318e+00  1.194949568395576e-02 
 7.244359600749839e+00  1.180936933198704e-02 
 7.413102413009112e+00  1.167091446421383e-02 
 7.585775750291773e+00  1.153411185025210e-02 
 7.762471166286851e+00  1.139894091280658e-02 
