 time                   tr_vin                 tr_vout                tr_err                 tr_vin_diff            tr_idd                 tr_iout               
 1.934025000000388e-05  1.000000000000000e+00  9.999931303536607e-01 -6.869646339335844e-06  6.869646339335844e-06  7.954132531503788e-04  2.087774421703319e-14 
 1.934075000000388e-05  1.000000000000000e+00  9.999931303544947e-01 -6.869645505336308e-06  6.869645505336308e-06  7.954132532499190e-04  1.103450631302594e-14 
 1.934125000000388e-05  1.000000000000000e+00  9.999931303547641e-01 -6.869645235885180e-06  6.869645235885180e-06  7.954132534348887e-04 -2.562394475537839e-15 
 1.934175000000388e-05  1.000000000000000e+00  9.999931303542384e-01 -6.869645761575782e-06  6.869645761575782e-06  7.954132532497746e-04 -1.181721384591456e-14 
 1.934225000000389e-05  1.000000000000000e+00  9.999931303535824e-01 -6.869646417606567e-06  6.869646417606567e-06  7.954132531181492e-04 -5.011545974222951e-15 
 1.934275000000389e-05  1.000000000000000e+00  9.999931303537373e-01 -6.869646262730456e-06  6.869646262730456e-06  7.954132532196030e-04  6.097344857102862e-15 
 1.934325000000389e-05  1.000000000000000e+00  9.999931303541921e-01 -6.869645807872082e-06  6.869645807872082e-06  7.954132534601009e-04 -7.175369949248867e-15 
 1.934375000000389e-05  1.000000000000000e+00  9.999931303530197e-01 -6.869646980267596e-06  6.869646980267596e-06  7.954132531347166e-04 -7.915891375353184e-15 
 1.934425000000389e-05  1.000000000000000e+00  9.999931303534005e-01 -6.869646599461099e-06  6.869646599461099e-06  7.954132532423709e-04 -8.547607669370422e-15 
 1.934475000000389e-05  1.000000000000000e+00  9.999931303521650e-01 -6.869647835028303e-06  6.869647835028303e-06  7.954132534186387e-04 -7.250865716985872e-15 
 1.934525000000389e-05  1.000000000000000e+00  9.999931303526755e-01 -6.869647324547756e-06  6.869647324547756e-06  7.954132531478022e-04 -3.513855289128379e-15 
 1.934575000000389e-05  1.000000000000000e+00  9.999931303518136e-01 -6.869648186413890e-06  6.869648186413890e-06  7.954132531034608e-04 -2.607691813024707e-14 
 1.934625000000389e-05  1.000000000000000e+00  9.999931303500678e-01 -6.869649932239597e-06  6.869649932239597e-06  7.954132532839289e-04 -1.861177740847945e-14 
 1.934675000000390e-05  1.000000000000000e+00  9.999931303499524e-01 -6.869650047591769e-06  6.869650047591769e-06  7.954132532475758e-04 -6.639133805801317e-16 
 1.934725000000390e-05  1.000000000000000e+00  9.999931303500014e-01 -6.869649998630933e-06  6.869649998630933e-06  7.954132531486082e-04  1.582289861477929e-14 
 1.934775000000390e-05  1.000000000000000e+00  9.999931303515347e-01 -6.869648465301914e-06  6.869648465301914e-06  7.954132533964259e-04  2.195466016953247e-14 
 1.934825000000390e-05  1.000000000000000e+00  9.999931303521968e-01 -6.869647803164902e-06  6.869647803164902e-06  7.954132534554297e-04 -9.298116134704011e-15 
 1.934875000000390e-05  1.000000000000000e+00  9.999931303506049e-01 -6.869649395113697e-06  6.869649395113697e-06  7.954132530762119e-04 -8.741895173923511e-15 
 1.934925000000390e-05  1.000000000000000e+00  9.999931303513226e-01 -6.869648677354512e-06  6.869648677354512e-06  7.954132531529564e-04  1.967426249426520e-14 
 1.934975000000390e-05  1.000000000000000e+00  9.999931303525723e-01 -6.869647427687475e-06  6.869647427687475e-06  7.954132533609920e-04  2.710609506179321e-14 
 1.935025000000390e-05  1.000000000000000e+00  9.999931303540333e-01 -6.869645966744997e-06  6.869645966744997e-06  7.954132532884593e-04  2.179589862831656e-14 
 1.935075000000390e-05  1.000000000000000e+00  9.999931303547519e-01 -6.869645248097633e-06  6.869645248097633e-06  7.954132532271157e-04  1.520783497761247e-14 
 1.935125000000391e-05  1.000000000000000e+00  9.999931303555540e-01 -6.869644445961498e-06  6.869644445961498e-06  7.954132532865721e-04  8.226753311851795e-16 
 1.935175000000391e-05  1.000000000000000e+00  9.999931303548342e-01 -6.869645165830107e-06  6.869645165830107e-06  7.954132533911079e-04 -1.765253587593405e-16 
 1.935225000000391e-05  1.000000000000000e+00  9.999931303555364e-01 -6.869644463614044e-06  6.869644463614044e-06  7.954132532676698e-04  1.840749543418414e-15 
 1.935275000000391e-05  1.000000000000000e+00  9.999931303550182e-01 -6.869644981755130e-06  6.869644981755130e-06  7.954132533932210e-04 -2.088662608560890e-14 
 1.935325000000391e-05  1.000000000000000e+00  9.999931303534477e-01 -6.869646552276620e-06  6.869646552276620e-06  7.954132530779538e-04 -3.432587559924313e-14 
 1.935375000000391e-05  1.000000000000000e+00  9.999931303515857e-01 -6.869648414342677e-06  6.869648414342677e-06  7.954132532654784e-04 -3.002043094045511e-14 
 1.935425000000391e-05  1.000000000000000e+00  9.999931303504457e-01 -6.869649554319679e-06  6.869649554319679e-06  7.954132532859399e-04 -8.150147770401935e-15 
