 frequency              vavdd_real             vavdd_imag             vout_real              vout_imag             
 3.845917820453564e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128696663566e-01  8.504929227807679e-05 
 3.890451449942835e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128699072021e-01  8.603411663822857e-05 
 3.935500754557804e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128701536610e-01  8.703034472597212e-05 
 3.981071705535003e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128704058610e-01  8.803810859020984e-05 
 4.027170343254621e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128706639302e-01  8.905754180890347e-05 
 4.073802778041159e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128709279963e-01  9.008877950677144e-05 
 4.120975190973334e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128711982441e-01  9.113195837319602e-05 
 4.168693834703387e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128714747589e-01  9.218721668035252e-05 
 4.216965034285856e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128717577539e-01  9.325469430152556e-05 
 4.265795188015960e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128720473000e-01  9.433453272966796e-05 
 4.315190768277687e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128723436248e-01  9.542687509611695e-05 
 4.365158322401694e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128726468133e-01  9.653186618961977e-05 
 4.415704473533161e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128729570931e-01  9.764965247547282e-05 
 4.466835921509667e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128732745779e-01  9.878038211497941e-05 
 4.518559443749261e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128735994806e-01  9.992420498504664e-05 
 4.570881896148788e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128739319294e-01  1.010812726980876e-04 
 4.623810213992641e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128742721514e-01  1.022517386221012e-04 
 4.677351412872021e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128746202747e-01  1.034357579009962e-04 
 4.731512589614845e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128749764982e-01  1.046334874751672e-04 
 4.786300923226424e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128753410351e-01  1.058450861022861e-04 
 4.841723675841035e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128757140700e-01  1.070707143783459e-04 
 4.897788193684505e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128760957878e-01  1.083105347589660e-04 
 4.954501908047946e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128764863873e-01  1.095647115808953e-04 
 5.011872336272767e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128768860818e-01  1.108334110838197e-04 
 5.069907082747089e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128772950987e-01  1.121168014323792e-04 
 5.128613839913695e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128777136510e-01  1.134150527384741e-04 
 5.188000389289658e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128781419377e-01  1.147283370837999e-04 
 5.248074602497774e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128785802005e-01  1.160568285426732e-04 
 5.308844442309933e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128790286666e-01  1.174007032050694e-04 
 5.370317963702578e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128794908747e-01  1.187601391994474e-04 
 5.432503314924383e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128799604724e-01  1.201353167185607e-04 
 5.495408738576298e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128804410124e-01  1.215264180400215e-04 
 5.559042572704089e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128809327790e-01  1.229336275526677e-04 
 5.623413251903545e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128814359712e-01  1.243571317804669e-04 
 5.688529308438470e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128819509015e-01  1.257971194072116e-04 
 5.754399373371626e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128824777974e-01  1.272537813015687e-04 
 5.821032177708772e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128830169856e-01  1.287273105423322e-04 
 5.888436553555948e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128835687363e-01  1.302179024440503e-04 
