 frequency       in_noise        out_noise      
 7.22719885e+01  5.39294879e-07  2.18543461e-02 
 7.39554194e+01  5.33297648e-07  2.15685402e-02 
 7.56780624e+01  5.27367714e-07  2.12846874e-02 
 7.74408309e+01  5.21504316e-07  2.10027404e-02 
 7.92446596e+01  5.15706705e-07  2.07226533e-02 
 8.10905049e+01  5.09974137e-07  2.04443807e-02 
 8.29793454e+01  5.04305877e-07  2.01678789e-02 
 8.49121826e+01  4.98701200e-07  1.98931048e-02 
 8.68900414e+01  4.93159389e-07  1.96200170e-02 
 8.89139705e+01  4.87679735e-07  1.93485751e-02 
 9.09850429e+01  4.82261535e-07  1.90787405e-02 
 9.31043568e+01  4.76904097e-07  1.88104758e-02 
 9.52730359e+01  4.71606735e-07  1.85437455e-02 
 9.74922300e+01  4.66368773e-07  1.82785158e-02 
 9.97631157e+01  4.61189540e-07  1.80147544e-02 
 1.02086897e+02  4.56068374e-07  1.77524315e-02 
 1.04464807e+02  4.51004621e-07  1.74915189e-02 
 1.06898104e+02  4.45997634e-07  1.72319909e-02 
 1.09388081e+02  4.41046773e-07  1.69738237e-02 
 1.11936057e+02  4.36151405e-07  1.67169962e-02 
 1.14543383e+02  4.31310906e-07  1.64614896e-02 
 1.17211441e+02  4.26524658e-07  1.62072878e-02 
 1.19941646e+02  4.21792050e-07  1.59543773e-02 
 1.22735446e+02  4.17112477e-07  1.57027472e-02 
 1.25594322e+02  4.12485342e-07  1.54523898e-02 
 1.28519789e+02  4.07910056e-07  1.52033000e-02 
 1.31513400e+02  4.03386035e-07  1.49554761e-02 
 1.34576740e+02  3.98912702e-07  1.47089190e-02 
 1.37711435e+02  3.94489486e-07  1.44636332e-02 
 1.40919147e+02  3.90115824e-07  1.42196260e-02 
 1.44201575e+02  3.85791158e-07  1.39769081e-02 
 1.47560461e+02  3.81514937e-07  1.37354935e-02 
