 time                   v(VDIFFCMD)            tr_vin_diff            v(OUTP)                v(OUTN)                tr_voutcm              tr_voutdiff            v(VOCM)                tr_idd                
 1.012750000000001e-06  1.000000000000000e+00  3.014629019521762e-01  1.685056745211226e+00  1.628545710058376e+00  1.656801227634801e+00  5.651103515284994e-02  1.656606019938142e+00  1.748130241681783e-03 
 1.013250000000001e-06  1.000000000000000e+00  3.093102719612619e-01  1.687544934840324e+00  1.626933008001876e+00  1.657238971421100e+00  6.061192683844818e-02  1.657038815297361e+00  1.745851850083783e-03 
 1.013750000000001e-06  1.000000000000000e+00  3.167282925897679e-01  1.690025654233116e+00  1.625300206999644e+00  1.657662930616380e+00  6.472544723347196e-02  1.657458963126248e+00  1.743345767405036e-03 
 1.014250000000001e-06  1.000000000000000e+00  3.237298728455962e-01  1.692494634882306e+00  1.623649112008610e+00  1.658071873445458e+00  6.884552287369639e-02  1.657865191940730e+00  1.740664775758121e-03 
 1.014750000000001e-06  1.000000000000000e+00  3.303288066437173e-01  1.694948467790639e+00  1.621981256684718e+00  1.658464862237678e+00  7.296721110592075e-02  1.658256513175619e+00  1.737854526732047e-03 
 1.015250000000001e-06  1.000000000000000e+00  3.365394390151590e-01  1.697384481522654e+00  1.620297944642452e+00  1.658841213082553e+00  7.708653688020140e-02  1.658632183876054e+00  1.734954048509419e-03 
 1.015750000000001e-06  1.000000000000000e+00  3.423764044743698e-01  1.699800631668540e+00  1.618600285499639e+00  1.659200458584090e+00  8.120034616890082e-02  1.658991672053880e+00  1.731996377727367e-03 
 1.016250000000001e-06  1.000000000000000e+00  3.478544238068242e-01  1.702195402416114e+00  1.616889226039758e+00  1.659542314227936e+00  8.530617637635540e-02  1.659334625238056e+00  1.729009204198735e-03 
 1.016750000000001e-06  1.000000000000000e+00  3.529881477386829e-01  1.704567720130651e+00  1.615165576969732e+00  1.659866648550191e+00  8.940214316091866e-02  1.659660842439974e+00  1.726015537834352e-03 
 1.017250000000001e-06  1.000000000000000e+00  3.577920379897710e-01  1.706916878341590e+00  1.613430035720490e+00  1.660173457031040e+00  9.348684262109996e-02  1.659970249492383e+00  1.723034321948091e-03 
 1.017750000000001e-06  1.000000000000000e+00  3.622802778634664e-01  1.709242473238584e+00  1.611683205769532e+00  1.660462839504058e+00  9.755926746905219e-02  1.660262877597833e+00  1.720081010218125e-03 
 1.018250000000001e-06  1.000000000000000e+00  3.664667062952480e-01  1.711544348629235e+00  1.609925612930403e+00  1.660734980779819e+00  1.016187356988318e-01  1.660538844828426e+00  1.717168078473291e-03 
 1.018750000000001e-06  1.000000000000000e+00  3.703647704486246e-01  1.713822549289394e+00  1.608157719032860e+00  1.660990134161128e+00  1.056648302565339e-01  1.660798340291930e+00  1.714305484584430e-03 
 1.019250000000001e-06  1.000000000000000e+00  3.739874927313522e-01  1.716077281641709e+00  1.606379933352390e+00  1.661228607497049e+00  1.096973482893187e-01  1.661041610653416e+00  1.711501063707723e-03 
