 frequency              vinn_real              vinn_imag              outn_real              outn_imag             
 4.518559443749261e-04  1.000000000000000e+00  0.000000000000000e+00  1.710471044028602e-01  3.765500740523671e-01 
 4.570881896148788e-04  1.000000000000000e+00  0.000000000000000e+00  1.743367110172291e-01  3.793987181601818e-01 
 4.623810213992641e-04  1.000000000000000e+00  0.000000000000000e+00  1.776760235360072e-01  3.822397397723604e-01 
 4.677351412872021e-04  1.000000000000000e+00  0.000000000000000e+00  1.810652717664042e-01  3.850722048051707e-01 
 4.731512589614845e-04  1.000000000000000e+00  0.000000000000000e+00  1.845046655711900e-01  3.878951624507936e-01 
 4.786300923226424e-04  1.000000000000000e+00  0.000000000000000e+00  1.879943940916640e-01  3.907076455393481e-01 
 4.841723675841035e-04  1.000000000000000e+00  0.000000000000000e+00  1.915346249709055e-01  3.935086709352701e-01 
 4.897788193684504e-04  1.000000000000000e+00  0.000000000000000e+00  1.951255035787674e-01  3.962972399686969e-01 
 4.954501908047945e-04  1.000000000000000e+00  0.000000000000000e+00  1.987671522401508e-01  3.990723389024464e-01 
 5.011872336272766e-04  1.000000000000000e+00  0.000000000000000e+00  2.024596694681519e-01  4.018329394351250e-01 
 5.069907082747088e-04  1.000000000000000e+00  0.000000000000000e+00  2.062031292037367e-01  4.045779992408215e-01 
 5.128613839913694e-04  1.000000000000000e+00  0.000000000000000e+00  2.099975800636562e-01  4.073064625457800e-01 
 5.188000389289658e-04  1.000000000000000e+00  0.000000000000000e+00  2.138430445983691e-01  4.100172607423603e-01 
 5.248074602497774e-04  1.000000000000000e+00  0.000000000000000e+00  2.177395185617909e-01  4.127093130405169e-01 
 5.308844442309933e-04  1.000000000000000e+00  0.000000000000000e+00  2.216869701947366e-01  4.153815271569372e-01 
 5.370317963702577e-04  1.000000000000000e+00  0.000000000000000e+00  2.256853395239701e-01  4.180328000418885e-01 
 5.432503314924383e-04  1.000000000000000e+00  0.000000000000000e+00  2.297345376788102e-01  4.206620186437268e-01 
 5.495408738576298e-04  1.000000000000000e+00  0.000000000000000e+00  2.338344462272821e-01  4.232680607109194e-01 
 5.559042572704088e-04  1.000000000000000e+00  0.000000000000000e+00  2.379849165338315e-01  4.258497956313270e-01 
 5.623413251903544e-04  1.000000000000000e+00  0.000000000000000e+00  2.421857691406429e-01  4.284060853083835e-01 
 5.688529308438469e-04  1.000000000000000e+00  0.000000000000000e+00  2.464367931746251e-01  4.309357850736968e-01 
 5.754399373371625e-04  1.000000000000000e+00  0.000000000000000e+00  2.507377457821356e-01  4.334377446354777e-01 
 5.821032177708771e-04  1.000000000000000e+00  0.000000000000000e+00  2.550883515935258e-01  4.359108090620872e-01 
 5.888436553555948e-04  1.000000000000000e+00  0.000000000000000e+00  2.594883022195846e-01  4.383538197998644e-01 
 5.956621435290164e-04  1.000000000000000e+00  0.000000000000000e+00  2.639372557819519e-01  4.407656157242801e-01 
 6.025595860743639e-04  1.000000000000000e+00  0.000000000000000e+00  2.684348364795568e-01  4.431450342233272e-01 
 6.095368972401754e-04  1.000000000000000e+00  0.000000000000000e+00  2.729806341931107e-01  4.454909123119369e-01 
 6.165950018614886e-04  1.000000000000000e+00  0.000000000000000e+00  2.775742041296549e-01  4.478020877760776e-01 
 6.237348354824258e-04  1.000000000000000e+00  0.000000000000000e+00  2.822150665091224e-01  4.500774003450651e-01 
 6.309573444801999e-04  1.000000000000000e+00  0.000000000000000e+00  2.869027062948213e-01  4.523156928904844e-01 
 6.382634861905555e-04  1.000000000000000e+00  0.000000000000000e+00  2.916365729696953e-01  4.545158126499935e-01 
 6.456542290346625e-04  1.000000000000000e+00  0.000000000000000e+00  2.964160803601432e-01  4.566766124741535e-01 
 6.531305526474795e-04  1.000000000000000e+00  0.000000000000000e+00  3.012406065091122e-01  4.587969520943063e-01 
 6.606934480076032e-04  1.000000000000000e+00  0.000000000000000e+00  3.061094936000858e-01  4.608756994093942e-01 
 6.683439175686219e-04  1.000000000000000e+00  0.000000000000000e+00  3.110220479335045e-01  4.629117317895025e-01 
 6.760829753919892e-04  1.000000000000000e+00  0.000000000000000e+00  3.159775399570456e-01  4.649039373937845e-01 
 6.839116472814369e-04  1.000000000000000e+00  0.000000000000000e+00  3.209752043510860e-01  4.668512165003285e-01 
 6.918309709189443e-04  1.000000000000000e+00  0.000000000000000e+00  3.260142401705441e-01  4.687524828454052e-01 
 6.998419960022814e-04  1.000000000000000e+00  0.000000000000000e+00  3.310938110441807e-01  4.706066649694541e-01 
 7.079457843841459e-04  1.000000000000000e+00  0.000000000000000e+00  3.362130454322890e-01  4.724127075670583e-01 
 7.161434102129102e-04  1.000000000000000e+00  0.000000000000000e+00  3.413710369435757e-01  4.741695728380828e-01 
 7.244359600749984e-04  1.000000000000000e+00  0.000000000000000e+00  3.465668447118717e-01  4.758762418370706e-01 
 7.328245331389126e-04  1.000000000000000e+00  0.000000000000000e+00  3.517994938331634e-01  4.775317158179221e-01 
 7.413102413009261e-04  1.000000000000000e+00  0.000000000000000e+00  3.570679758632674e-01  4.791350175708259e-01 
 7.498942093324645e-04  1.000000000000000e+00  0.000000000000000e+00  3.623712493763033e-01  4.806851927483568e-01 
 7.585775750291926e-04  1.000000000000000e+00  0.000000000000000e+00  3.677082405839461e-01  4.821813111776229e-01 
 7.673614893618280e-04  1.000000000000000e+00  0.000000000000000e+00  3.730778440152600e-01  4.836224681553075e-01 
 7.762471166287009e-04  1.000000000000000e+00  0.000000000000000e+00  3.784789232567360e-01  4.850077857224441e-01 
 7.852356346100812e-04  1.000000000000000e+00  0.000000000000000e+00  3.839103117519677e-01  4.863364139157459e-01 
 7.943282347242911e-04  1.000000000000000e+00  0.000000000000000e+00  3.893708136602134e-01  4.876075319923285e-01 
 8.035261221856270e-04  1.000000000000000e+00  0.000000000000000e+00  3.948592047729079e-01  4.888203496246750e-01 
 8.128305161641091e-04  1.000000000000000e+00  0.000000000000000e+00  4.003742334869930e-01  4.899741080627272e-01 
