Corner,Process,Environment,AVDD_V,Temperature_C,Parameter,Unit,Value
NOMNOMTL,NOM,NOMTL,3.3,-40,"Total current",mA,1.302
NOMNOMTL,NOM,NOMTL,3.3,-40,"Total power",mW,4.296
NOMNOMTL,NOM,NOMTL,3.3,-40,"Output CM error",mV,-7.167
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 target gain",V/V,2.000
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 input offset",mV,-7.065e-08
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 gain @ 10 Hz",V/V,1.995
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 gain @ 150 Hz",V/V,1.995
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 gain error",%,-0.246
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 -3 dB bandwidth",MHz,5.124
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 input range low",V,-1.581
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 input range high",V,1.581
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 output range low",V,-3.153
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 output range high",V,3.153
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 CMRR @ 60 Hz",dB,223.669
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 CMRR @ 150 Hz",dB,223.667
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 PSRR+ @ 60 Hz",dB,254.143
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 PSRR+ @ 150 Hz",dB,254.599
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 PSRR- @ 60 Hz",dB,214.854
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 PSRR- @ 150 Hz",dB,214.854
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 input-referred noise 0.05-150 Hz",uVrms,4.419
NOMNOMTL,NOM,NOMTL,3.3,-40,"G2 THD @ 60 Hz, 1.20 Vpp",%,0.015
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 target gain",V/V,4.000
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 input offset",mV,3.633e-08
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 gain @ 10 Hz",V/V,3.980
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 gain @ 150 Hz",V/V,3.980
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 gain error",%,-0.489
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 -3 dB bandwidth",MHz,3.124
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 input range low",V,-0.786
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 input range high",V,0.786
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 output range low",V,-3.129
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 output range high",V,3.129
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 CMRR @ 60 Hz",dB,239.622
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 CMRR @ 150 Hz",dB,239.622
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 PSRR+ @ 60 Hz",dB,243.931
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 PSRR+ @ 150 Hz",dB,243.781
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 PSRR- @ 60 Hz",dB,234.553
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 PSRR- @ 150 Hz",dB,234.555
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 input-referred noise 0.05-150 Hz",uVrms,3.683
NOMNOMTL,NOM,NOMTL,3.3,-40,"G4 THD @ 60 Hz, 0.60 Vpp",%,0.004
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 target gain",V/V,8.000
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 input offset",mV,-5.320e-07
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 gain @ 10 Hz",V/V,7.938
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 gain @ 150 Hz",V/V,7.938
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 gain error",%,-0.775
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 -3 dB bandwidth",MHz,2.166
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 input range low",V,-0.389
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 input range high",V,0.389
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 output range low",V,-3.090
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 output range high",V,3.090
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 CMRR @ 60 Hz",dB,204.326
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 CMRR @ 150 Hz",dB,204.329
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 PSRR+ @ 60 Hz",dB,250.748
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 PSRR+ @ 150 Hz",dB,250.822
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 PSRR- @ 60 Hz",dB,201.141
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 PSRR- @ 150 Hz",dB,201.144
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 input-referred noise 0.05-150 Hz",uVrms,3.314
NOMNOMTL,NOM,NOMTL,3.3,-40,"G8 THD @ 60 Hz, 0.30 Vpp",%,2.263e-04
NOMNOMTL,NOM,NOMTL,3.3,-40,"G16 target gain",V/V,16.000
NOMNOMTL,NOM,NOMTL,3.3,-40,"G16 input offset",mV,-8.569e-08
NOMNOMTL,NOM,NOMTL,3.3,-40,"G16 gain @ 10 Hz",V/V,15.860
NOMNOMTL,NOM,NOMTL,3.3,-40,"G16 gain @ 150 Hz",V/V,15.860
NOMNOMTL,NOM,NOMTL,3.3,-40,"G16 gain error",%,-0.873
