 cl_ref                 cl_voutcm              cl_ideal               cl_vcmfb               cl_error              
 8.100000000000005e-01  8.135278236791932e-01  8.100000000000005e-01  1.661627823679193e+00  3.527823679192688e-03 
 8.200000000000005e-01  8.234815076172410e-01  8.200000000000005e-01  1.671581507617241e+00  3.481507617240531e-03 
 8.300000000000005e-01  8.334356672360048e-01  8.300000000000005e-01  1.681535667236005e+00  3.435667236004303e-03 
 8.400000000000005e-01  8.433902053587192e-01  8.400000000000005e-01  1.691490205358719e+00  3.390205358718701e-03 
 8.500000000000005e-01  8.533450518965580e-01  8.500000000000005e-01  1.701445051896558e+00  3.345051896557427e-03 
 8.600000000000005e-01  8.633001569431984e-01  8.600000000000005e-01  1.711400156943198e+00  3.300156943197852e-03 
 8.700000000000006e-01  8.732554813301381e-01  8.700000000000006e-01  1.721355481330138e+00  3.255481330137533e-03 
 8.800000000000006e-01  8.832109995178070e-01  8.800000000000006e-01  1.731310999517807e+00  3.210999517806457e-03 
 8.900000000000006e-01  8.931666899954243e-01  8.900000000000006e-01  1.741266689995424e+00  3.166689995423688e-03 
 9.000000000000006e-01  9.031225363898716e-01  9.000000000000006e-01  1.751222536389871e+00  3.122536389871033e-03 
 9.100000000000006e-01  9.130785274514004e-01  9.100000000000006e-01  1.761178527451400e+00  3.078527451399804e-03 
 9.200000000000006e-01  9.230346528719602e-01  9.200000000000006e-01  1.771134652871960e+00  3.034652871959587e-03 
 9.300000000000006e-01  9.329909055836501e-01  9.300000000000006e-01  1.781090905583650e+00  2.990905583649450e-03 
 9.400000000000006e-01  9.429472779785772e-01  9.400000000000006e-01  1.791047277978577e+00  2.947277978576635e-03 
 9.500000000000006e-01  9.529037654680959e-01  9.500000000000006e-01  1.801003765468096e+00  2.903765468095232e-03 
 9.600000000000006e-01  9.628603620342921e-01  9.600000000000006e-01  1.810960362034292e+00  2.860362034291519e-03 
 9.700000000000006e-01  9.728170648160859e-01  9.700000000000006e-01  1.820917064816086e+00  2.817064816085235e-03 
 9.800000000000006e-01  9.827738697459198e-01  9.800000000000006e-01  1.830873869745920e+00  2.773869745919200e-03 
 9.900000000000007e-01  9.927307739457336e-01  9.900000000000007e-01  1.840830773945733e+00  2.730773945732956e-03 
 1.000000000000001e+00  1.002687773274607e+00  1.000000000000001e+00  1.850787773274607e+00  2.687773274606453e-03 
 1.010000000000001e+00  1.012644866365950e+00  1.010000000000001e+00  1.860744866365950e+00  2.644866365949516e-03 
 1.020000000000001e+00  1.022602049143936e+00  1.020000000000001e+00  1.870702049143936e+00  2.602049143935581e-03 
 1.030000000000001e+00  1.032559320153004e+00  1.030000000000001e+00  1.880659320153004e+00  2.559320153002975e-03 
 1.040000000000001e+00  1.042516676806620e+00  1.040000000000001e+00  1.890616676806619e+00  2.516676806618934e-03 
 1.050000000000001e+00  1.052474117109149e+00  1.050000000000001e+00  1.900574117109149e+00  2.474117109148244e-03 
 1.060000000000001e+00  1.062431638768413e+00  1.060000000000001e+00  1.910531638768413e+00  2.431638768412236e-03 
 1.070000000000001e+00  1.072389239810748e+00  1.070000000000001e+00  1.920489239810748e+00  2.389239810747679e-03 
 1.080000000000001e+00  1.082346918764109e+00  1.080000000000001e+00  1.930446918764109e+00  2.346918764108308e-03 
 1.090000000000001e+00  1.092304672976862e+00  1.090000000000001e+00  1.940404672976862e+00  2.304672976861655e-03 
 1.100000000000001e+00  1.102262500944975e+00  1.100000000000001e+00  1.950362500944975e+00  2.262500944973933e-03 
 1.110000000000001e+00  1.112220401087122e+00  1.110000000000001e+00  1.960320401087122e+00  2.220401087121182e-03 
 1.120000000000001e+00  1.122178371885732e+00  1.120000000000001e+00  1.970278371885732e+00  2.178371885731334e-03 
 1.130000000000001e+00  1.132136411280667e+00  1.130000000000001e+00  1.980236411280667e+00  2.136411280666328e-03 
 1.140000000000001e+00  1.142094516851759e+00  1.140000000000001e+00  1.990194516851759e+00  2.094516851757877e-03 
 1.150000000000001e+00  1.152052687793079e+00  1.150000000000001e+00  2.000152687793078e+00  2.052687793077768e-03 
 1.160000000000001e+00  1.162010923342760e+00  1.160000000000001e+00  2.010110923342760e+00  2.010923342758986e-03 
 1.170000000000001e+00  1.171969220251404e+00  1.170000000000001e+00  2.020069220251404e+00  1.969220251403447e-03 
 1.180000000000001e+00  1.181927577550671e+00  1.180000000000001e+00  2.030027577550670e+00  1.927577550669746e-03 
 1.190000000000001e+00  1.191885994571060e+00  1.190000000000001e+00  2.039985994571059e+00  1.885994571058758e-03 
 1.200000000000001e+00  1.201844469175621e+00  1.200000000000001e+00  2.049944469175621e+00  1.844469175619867e-03 
 1.210000000000001e+00  1.211802998841545e+00  1.210000000000001e+00  2.059902998841545e+00  1.802998841544001e-03 
 1.220000000000001e+00  1.221761583581903e+00  1.220000000000001e+00  2.069861583581903e+00  1.761583581902038e-03 
 1.230000000000001e+00  1.231720220885655e+00  1.230000000000001e+00  2.079820220885654e+00  1.720220885653712e-03 
 1.240000000000001e+00  1.241678909672317e+00  1.240000000000001e+00  2.089778909672317e+00  1.678909672316209e-03 
 1.250000000000001e+00  1.251637648320587e+00  1.250000000000001e+00  2.099737648320587e+00  1.637648320586438e-03 
 1.260000000000001e+00  1.261596435754982e+00  1.260000000000001e+00  2.109696435754982e+00  1.596435754981584e-03 
 1.270000000000001e+00  1.271555269819277e+00  1.270000000000001e+00  2.119655269819277e+00  1.555269819275784e-03 
