 frequency              onoise_spectrum       
 1.717908387157568e-02  1.884602988998226e-03 
 1.721868574985987e-02  1.882285889422437e-03 
 1.725837891990183e-02  1.879971669130531e-03 
 1.729816359215081e-02  1.877660324512433e-03 
 1.733803997754117e-02  1.875351851962619e-03 
 1.737800828749355e-02  1.873046247880127e-03 
 1.741806873391593e-02  1.870743508668535e-03 
 1.745822152920483e-02  1.868443630735969e-03 
 1.749846688624636e-02  1.866146610495088e-03 
 1.753880501841740e-02  1.863852444363083e-03 
 1.757923613958671e-02  1.861561128761669e-03 
 1.761976046411608e-02  1.859272660117080e-03 
 1.766037820686143e-02  1.856987034860064e-03 
 1.770108958317399e-02  1.854704249425873e-03 
 1.774189480890144e-02  1.852424300254268e-03 
 1.778279410038901e-02  1.850147183789499e-03 
 1.782378767448068e-02  1.847872896480310e-03 
 1.786487574852029e-02  1.845601434779929e-03 
 1.790605854035272e-02  1.843332795146062e-03 
 1.794733626832504e-02  1.841066974040888e-03 
 1.798870915128765e-02  1.838803967931057e-03 
 1.803017740859546e-02  1.836543773287675e-03 
 1.807174126010904e-02  1.834286386586311e-03 
 1.811340092619580e-02  1.832031804306980e-03 
 1.815515662773112e-02  1.829780022934143e-03 
 1.819700858609960e-02  1.827531038956700e-03 
 1.823895702319614e-02  1.825284848867986e-03 
 1.828100216142719e-02  1.823041449165762e-03 
 1.832314422371187e-02  1.820800836352214e-03 
 1.836538343348322e-02  1.818563006933943e-03 
 1.840772001468931e-02  1.816327957421960e-03 
 1.845015419179449e-02  1.814095684331686e-03 
 1.849268618978053e-02  1.811866184182937e-03 
 1.853531623414786e-02  1.809639453499925e-03 
 1.857804455091673e-02  1.807415488811252e-03 
 1.862087136662842e-02  1.805194286649904e-03 
 1.866379690834644e-02  1.802975843553240e-03 
 1.870682140365774e-02  1.800760156062996e-03 
 1.874994508067392e-02  1.798547220725273e-03 
 1.879316816803242e-02  1.796337034090533e-03 
 1.883649089489774e-02  1.794129592713593e-03 
 1.887991349096267e-02  1.791924893153621e-03 
 1.892343618644949e-02  1.789722931974126e-03 
 1.896705921211119e-02  1.787523705742963e-03 
 1.901078279923273e-02  1.785327211032312e-03 
 1.905460717963220e-02  1.783133444418688e-03 
 1.909853258566211e-02  1.780942402482921e-03 
 1.914255925021058e-02  1.778754081810168e-03 
 1.918668740670262e-02  1.776568478989888e-03 
 1.923091728910131e-02  1.774385590615849e-03 
 1.927524913190908e-02  1.772205413286124e-03 
 1.931968317016896e-02  1.770027943603073e-03 
 1.936421963946578e-02  1.767853178173351e-03 
 1.940885877592749e-02  1.765681113607897e-03 
 1.945360081622634e-02  1.763511746521926e-03 
 1.949844599758016e-02  1.761345073534930e-03 
 1.954339455775365e-02  1.759181091270663e-03 
 1.958844673505960e-02  1.757019796357148e-03 
 1.963360276836017e-02  1.754861185426662e-03 
 1.967886289706815e-02  1.752705255115732e-03 
 1.972422736114824e-02  1.750552002065133e-03 
 1.976969640111831e-02  1.748401422919882e-03 
 1.981527025805068e-02  1.746253514329230e-03 
 1.986094917357341e-02  1.744108272946655e-03 
 1.990673338987156e-02  1.741965695429867e-03 
 1.995262314968849e-02  1.739825778440790e-03 
 1.999861869632713e-02  1.737688518645561e-03 
 2.004472027365130e-02  1.735553912714530e-03 
 2.009092812608696e-02  1.733421957322247e-03 
 2.013724249862357e-02  1.731292649147459e-03 
 2.018366363681529e-02  1.729165984873111e-03 
 2.023019178678240e-02  1.727041961186330e-03 
 2.027682719521250e-02  1.724920574778425e-03 
 2.032357010936189e-02  1.722801822344885e-03 
 2.037042077705686e-02  1.720685700585370e-03 
 2.041737944669497e-02  1.718572206203703e-03 
 2.046444636724641e-02  1.716461335907868e-03 
 2.051162178825532e-02  1.714353086410009e-03 
 2.055890595984108e-02  1.712247454426416e-03 
 2.060629913269967e-02  1.710144436677524e-03 
 2.065380155810495e-02  1.708044029887908e-03 
 2.070141348791008e-02  1.705946230786282e-03 
 2.074913517454875e-02  1.703851036105483e-03 
 2.079696687103661e-02  1.701758442582473e-03 
